idx,text,main_heading,heading,topic,paper_idx,BIO,BIO_1,BIO_2,offset1,pro1,offset2,pro2,offset3,pro3,mask,bi_labels,labels
18,The two networks are trained jointly to maximize the conditional probability of the target sequence given a source sequence .,Introduction,Introduction,machine-translation,0,"['O', 'O', 'O', 'O', 'B', 'B', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']","['O', 'O', 'O', 'O', 'B-p', 'B-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'O', 'O', 'B-p', 'B-b', 'B-p', 'I-p', 'O', 'B-b', 'I-b', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",9,0.08333333333333333,17,0.0776255707762557,9,0.23684210526315788,1,1,model
19,"Additionally , we propose to use a rather sophisticated hidden unit in order to improve both the memory capacity and the ease of training .",Introduction,Introduction,machine-translation,0,"['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']","['O', 'O', 'O', 'B-p', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'O', 'B-p', 'O', 'O', 'O', 'O', 'B-b', 'I-b', 'I-b', 'O', 'O', 'B-p', 'I-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",10,0.09259259259259259,18,0.0821917808219178,10,0.2631578947368421,1,1,model
20,The proposed RNN Encoder - Decoder with a novel hidden unit is empirically evaluated on the task of translating from English to French .,Introduction,Introduction,machine-translation,0,,,,11,0.10185185185185185,19,0.0867579908675799,11,0.2894736842105263,1,0,
21,We train the model to learn the translation probability of an English phrase to a corresponding French phrase .,Introduction,Introduction,machine-translation,0,,,,12,0.1111111111111111,20,0.091324200913242,12,0.3157894736842105,1,0,
22,The model is then used as apart of a standard phrase - based SMT system by scoring each phrase pair in the phrase table .,Introduction,Introduction,machine-translation,0,,,,13,0.12037037037037036,21,0.0958904109589041,13,0.34210526315789475,1,0,
23,The empirical evaluation reveals that this approach of scoring phrase pairs with an RNN Encoder - Decoder improves the translation performance .,Introduction,Introduction,machine-translation,0,,,,14,0.12962962962962962,22,0.1004566210045662,14,0.3684210526315789,1,0,
24,We qualitatively analyze the trained RNN Encoder - Decoder by comparing its phrase scores with those given by the existing translation model .,Introduction,Introduction,machine-translation,0,,,,15,0.1388888888888889,23,0.1050228310502283,15,0.39473684210526316,1,0,
25,"The qualitative analysis shows that the RNN Encoder - Decoder is better at capturing the linguistic regularities in the phrase table , indirectly explaining the quantitative improvements in the overall translation performance .",Introduction,Introduction,machine-translation,0,,,,16,0.14814814814814814,24,0.1095890410958904,16,0.42105263157894735,1,0,
26,The further analysis of the model reveals that the RNN Encoder - Decoder learns a continuous space representation of a phrase that preserves both the semantic and syntactic structure of the phrase .,Introduction,Introduction,machine-translation,0,,,,17,0.1574074074074074,25,0.1141552511415525,17,0.4473684210526316,1,0,
27,"A recurrent neural network ( RNN ) is a neural network that consists of a hidden state hand an optional output y which operates on a variablelength sequence x = ( x 1 , . . . , x T ) .",Introduction,Introduction,machine-translation,0,,,,18,0.16666666666666666,26,0.1187214611872146,18,0.47368421052631576,1,0,
28,"At each time step t , the hidden state ht of the RNN is updated by",Introduction,Introduction,machine-translation,0,,,,19,0.17592592592592593,27,0.1232876712328767,19,0.5,1,0,
29,where f is a non-linear activation function .,Introduction,Introduction,machine-translation,0,,,,20,0.18518518518518517,28,0.1278538812785388,20,0.5263157894736842,1,0,
30,f maybe as simple as an elementwise logistic sigmoid function and as complex as along short - term memory ( LSTM ) unit ) .,Introduction,Introduction,machine-translation,0,,,,21,0.19444444444444445,29,0.1324200913242009,21,0.5526315789473685,1,0,
31,An RNN can learn a probability distribution over a sequence by being trained to predict the next symbol in a sequence .,Introduction,Introduction,machine-translation,0,,,,22,0.2037037037037037,30,0.136986301369863,22,0.5789473684210527,1,0,
32,"In that case , the output at each timestep t is the conditional distribution p ( x t | x t?1 , . . . , x 1 ) .",Introduction,Introduction,machine-translation,0,,,,23,0.21296296296296297,31,0.1415525114155251,23,0.6052631578947368,1,0,
33,"For example , a multinomial distribution ( 1 - of - K coding ) can be output using a softmax activation function",Introduction,Introduction,machine-translation,0,,,,24,0.2222222222222222,32,0.1461187214611872,24,0.631578947368421,1,0,
34,"for all possible symbols j = 1 , . . . , K , where w j are the rows of a weight matrix W. By combining these probabilities , we can compute the probability of the sequence x using",Introduction,Introduction,machine-translation,0,,,,25,0.23148148148148148,33,0.1506849315068493,25,0.6578947368421053,1,0,
35,"From this learned distribution , it is straightforward to sample anew sequence by iteratively sampling a symbol at each time step .",Introduction,Introduction,machine-translation,0,,,,26,0.24074074074074073,34,0.1552511415525114,26,0.6842105263157895,1,0,
36,RNN Encoder - Decoder,Introduction,Introduction,machine-translation,0,,,,27,0.25,35,0.1598173515981735,27,0.7105263157894737,1,0,
37,The RNN Encoder - Decoder used in the experiment had 1000 hidden units with the proposed gates at the encoder and at the decoder .,Introduction,Introduction,machine-translation,0,,,,28,0.25925925925925924,36,0.1643835616438356,28,0.7368421052631579,1,0,
38,"The input matrix between each input symbol x t and the hidden unit is approximated with two lower - rank matrices , and the output matrix is approximated similarly .",Introduction,Introduction,machine-translation,0,,,,29,0.26851851851851855,37,0.1689497716894977,29,0.7631578947368421,1,0,
39,"We used rank - 100 matrices , equivalent to learning an embedding of dimension 100 for each word .",Introduction,Introduction,machine-translation,0,,,,30,0.2777777777777778,38,0.1735159817351598,30,0.7894736842105263,1,0,
40,The activation function used forh in Eq. ( 8 ) is a hyperbolic tangent function .,Introduction,Introduction,machine-translation,0,,,,31,0.28703703703703703,39,0.1780821917808219,31,0.8157894736842105,1,0,
41,"The computation from the hidden state in the decoder to the output is implemented as a deep neural network ( Pascanu et al. , 2014 ) with a single intermediate layer having 500 maxout units each pooling 2 inputs .",Introduction,Introduction,machine-translation,0,,,,32,0.2962962962962963,40,0.182648401826484,32,0.8421052631578947,1,0,
42,"All the weight parameters in the RNN Encoder - Decoder were initialized by sampling from an isotropic zero-mean ( white ) Gaussian distribution with its standard deviation fixed to 0.01 , except for the recurrent weight parameters .",Introduction,Introduction,machine-translation,0,,,,33,0.3055555555555556,41,0.1872146118721461,33,0.868421052631579,1,0,
43,"For the recurrent weight matrices , we first sampled from a white Gaussian distribution and used its left singular vectors matrix , following .",Introduction,Introduction,machine-translation,0,,,,34,0.3148148148148148,42,0.1917808219178082,34,0.8947368421052632,1,0,
44,"We used Adadelta and stochastic gradient descent to train the RNN Encoder - Decoder with hyperparameters = 10 ?6 and ? = 0.95 ( Zeiler , 2012 ) .",Introduction,Introduction,machine-translation,0,,,,35,0.32407407407407407,43,0.1963470319634703,35,0.9210526315789473,1,0,
45,"At each update , we used 64 randomly selected phrase pairs from a phrase table ( which was created from 348 M words ) .",Introduction,Introduction,machine-translation,0,,,,36,0.3333333333333333,44,0.2009132420091324,36,0.9473684210526315,1,0,
46,The model was trained for approximately three days .,Introduction,Introduction,machine-translation,0,,,,37,0.3425925925925926,45,0.2054794520547945,37,0.9736842105263158,1,0,
47,Details of the architecture used in the experiments are explained in more depth in the supplementary material .,Introduction,Introduction,machine-translation,0,,,,38,0.35185185185185186,46,0.2100456621004566,38,1.0,1,0,
48,Hidden Unit that Adaptively Remembers and Forgets,Introduction,,machine-translation,0,,,,39,0.3611111111111111,47,0.2146118721461187,0,0.0,1,0,
49,"In addition to a novel model architecture , we also propose anew type of hidden unit ( f in Eq .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,40,0.37037037037037035,48,0.2191780821917808,1,0.045454545454545456,1,0,
50,( 1 ) ) that has been motivated by the LSTM unit but is much simpler to compute and implement .,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,41,0.37962962962962965,49,0.2237442922374429,2,0.09090909090909091,1,0,
51,1 shows the graphical depiction of the proposed hidden unit .,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,42,0.3888888888888889,50,0.228310502283105,3,0.13636363636363635,1,0,
52,Let us describe how the activation of the j - th hidden unit is computed .,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,43,0.39814814814814814,51,0.2328767123287671,4,0.18181818181818182,1,0,
53,"First , the reset gate r j is computed by",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,44,0.4074074074074074,52,0.2374429223744292,5,0.22727272727272727,1,0,
54,where ?,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,45,0.4166666666666667,53,0.2420091324200913,6,0.2727272727272727,1,0,
55,"is the logistic sigmoid function , and [. ] j denotes the j - th element of a vector .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,46,0.42592592592592593,54,0.2465753424657534,7,0.3181818181818182,1,0,
56,"x and h t?1 are the input and the previous hidden state , respectively .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,47,0.4351851851851852,55,0.2511415525114155,8,0.36363636363636365,1,0,
57,W rand Ur are weight matrices which are learned .,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,48,0.4444444444444444,56,0.2557077625570776,9,0.4090909090909091,1,0,
58,"Similarly , the update gate z j is computed by",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,49,0.4537037037037037,57,0.2602739726027397,10,0.45454545454545453,1,0,
59,The actual activation of the proposed unit h j is then computed by,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,50,0.46296296296296297,58,0.2648401826484018,11,0.5,1,0,
60,wher ?,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,51,0.4722222222222222,59,0.2694063926940639,12,0.5454545454545454,1,0,
61,h,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,52,0.48148148148148145,60,0.273972602739726,13,0.5909090909090909,1,0,
62,"In this formulation , when the reset gate is close to 0 , the hidden state is forced to ignore the previous hidden state and reset with the current input only .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,53,0.49074074074074076,61,0.2785388127853881,14,0.6363636363636364,1,0,
63,"This effectively allows the hidden state to drop any information that is found to be irrelevant later in the future , thus , allowing a more compact representation .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,54,0.5,62,0.2831050228310502,15,0.6818181818181818,1,0,
64,"On the other hand , the update gate controls how much information from the previous hidden state will carryover to the current hidden state .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,55,0.5092592592592593,63,0.2876712328767123,16,0.7272727272727273,1,0,
65,This acts similarly to the memory cell in the LSTM network and helps the RNN to remember longterm information .,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,56,0.5185185185185185,64,0.2922374429223744,17,0.7727272727272727,1,0,
66,"Furthermore , this maybe considered an adaptive variant of a leaky - integration unit .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,57,0.5277777777777778,65,0.2968036529680365,18,0.8181818181818182,1,0,
67,"As each hidden unit has separate reset and update gates , each hidden unit will learn to capture dependencies over different time scales .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,58,0.5370370370370371,66,0.3013698630136986,19,0.8636363636363636,1,0,
68,"Those units that learn to capture short - term dependencies will tend to have reset gates that are frequently active , but those that capture longer - term dependencies will have update gates that are mostly active .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,59,0.5462962962962963,67,0.3059360730593607,20,0.9090909090909091,1,0,
69,"In our preliminary experiments , we found that it is crucial to use this new unit with gating units .",Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,60,0.5555555555555556,68,0.3105022831050228,21,0.9545454545454546,1,0,
70,We were notable to get meaningful result with an oft - used tanh unit without any gating .,Introduction,Hidden Unit that Adaptively Remembers and Forgets,machine-translation,0,,,,61,0.5648148148148148,69,0.3150684931506849,22,1.0,1,0,
71,Statistical Machine Translation,Introduction,,machine-translation,0,,,,62,0.5740740740740741,70,0.319634703196347,0,0.0,1,0,
72,"Ina commonly used statistical machine translation system ( SMT ) , the goal of the system ( decoder , specifically ) is to find a translation f given a source sentence e , which maximizes",Introduction,Statistical Machine Translation,machine-translation,0,,,,63,0.5833333333333334,71,0.3242009132420091,1,0.021739130434782608,1,0,
73,"where the first term at the right hand side is called translation model and the latter language model ( see , e.g. , ) .",Introduction,Statistical Machine Translation,machine-translation,0,,,,64,0.5925925925925926,72,0.3287671232876712,2,0.043478260869565216,1,0,
74,"In practice , however , most SMT systems model log p ( f | e ) as a loglinear model with additional features and corre - sponding weights : where f n and w n are the n - th feature and weight , respectively .",Introduction,Statistical Machine Translation,machine-translation,0,,,,65,0.6018518518518519,73,0.3333333333333333,3,0.06521739130434782,1,0,
75,Z ( e ) is a normalization constant that does not depend on the weights .,Introduction,Statistical Machine Translation,machine-translation,0,,,,66,0.6111111111111112,74,0.3378995433789954,4,0.08695652173913043,1,0,
76,The weights are often optimized to maximize the BLEU score on a development set .,Introduction,Statistical Machine Translation,machine-translation,0,,,,67,0.6203703703703703,75,0.3424657534246575,5,0.10869565217391304,1,0,
77,"In the phrase - based SMT framework introduced in and , the translation model log p ( e | f ) is factorized into the translation probabilities of matching phrases in the source and target sentences .",Introduction,Statistical Machine Translation,machine-translation,0,,,,68,0.6296296296296297,76,0.3470319634703196,6,0.13043478260869565,1,0,
78,2,Introduction,Statistical Machine Translation,machine-translation,0,,,,69,0.6388888888888888,77,0.3515981735159817,7,0.15217391304347827,1,0,
79,These probabilities are once again considered additional features in the log - linear model ( see Eq. ) and are weighted accordingly to maximize the BLEU score .,Introduction,Statistical Machine Translation,machine-translation,0,,,,70,0.6481481481481481,78,0.3561643835616438,8,0.17391304347826086,1,0,
80,"Since the neural net language model was proposed in , neural networks have been used widely in SMT systems .",Introduction,Statistical Machine Translation,machine-translation,0,,,,71,0.6574074074074074,79,0.3607305936073059,9,0.1956521739130435,1,0,
81,"In many cases , neural networks have been used to rescore translation hypotheses ( n- best lists ) ( see , e.g. , ) .",Introduction,Statistical Machine Translation,machine-translation,0,,,,72,0.6666666666666666,80,0.365296803652968,10,0.21739130434782608,1,0,
82,"Recently , however , there has been interest in training neural networks to score the translated sentence ( or phrase pairs ) using a representation of the source sentence as an additional input .",Introduction,Statistical Machine Translation,machine-translation,0,,,,73,0.6759259259259259,81,0.3698630136986301,11,0.2391304347826087,1,0,
83,"See , e.g. , , and .",Introduction,Statistical Machine Translation,machine-translation,0,,,,74,0.6851851851851852,82,0.3744292237442922,12,0.2608695652173913,1,0,
84,Scoring Phrase Pairs with RNN Encoder - Decoder,Introduction,,machine-translation,0,,,,75,0.6944444444444444,83,0.3789954337899543,13,0.2826086956521739,1,0,
85,Here we propose to train the RNN Encoder - Decoder ( see Sec. 2.2 ) on a table of phrase pairs and use its scores as additional features in the loglinear model in Eq. ( 9 ) when tuning the SMT decoder .,Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,76,0.7037037037037037,84,0.3835616438356164,14,0.30434782608695654,1,0,
86,"When we train the RNN Encoder - Decoder , we ignore the ( normalized ) frequencies of each phrase pair in the original corpora .",Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,77,0.7129629629629629,85,0.3881278538812785,15,0.32608695652173914,1,0,
87,This measure was taken in order ( 1 ) to reduce the computational expense of randomly selecting phrase pairs from a large phrase table according to the normalized frequencies and ( 2 ) to ensure that the RNN Encoder - Decoder does not simply learn to rank the phrase pairs according to their numbers of occurrences .,Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,78,0.7222222222222222,86,0.3926940639269406,16,0.34782608695652173,1,0,
88,One underlying reason for this choice was that the existing translation probability in the phrase table already reflects the frequencies of the phrase pairs in the original corpus .,Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,79,0.7314814814814815,87,0.3972602739726027,17,0.3695652173913043,1,0,
89,"With a fixed capacity of the RNN Encoder - Decoder , we try to ensure that most of the capacity of the model is focused toward learning linguistic regularities , i.e. , distinguishing between plausible and implausible translations , or learning the "" manifold "" ( region of probability concentration ) of plausible translations .",Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,80,0.7407407407407407,88,0.4018264840182648,18,0.391304347826087,1,0,
90,"Once the RNN Encoder - Decoder is trained , we add anew score for each phrase pair to the existing phrase table .",Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,81,0.75,89,0.4063926940639269,19,0.41304347826086957,1,0,
91,This allows the new scores to enter into the existing tuning algorithm with minimal additional overhead in computation .,Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,82,0.7592592592592593,90,0.410958904109589,20,0.43478260869565216,1,0,
92,"As Schwenk pointed out in , it is possible to completely replace the existing phrase table with the proposed RNN Encoder - Decoder .",Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,83,0.7685185185185185,91,0.4155251141552511,21,0.45652173913043476,1,0,
93,"In that case , fora given source phrase , the RNN Encoder - Decoder will need to generate a list of ( good ) target phrases .",Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,84,0.7777777777777778,92,0.4200913242009132,22,0.4782608695652174,1,0,
94,"This requires , however , an expensive sampling procedure to be performed repeatedly .",Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,85,0.7870370370370371,93,0.4246575342465753,23,0.5,1,0,
95,"In this paper , thus , we only consider rescoring the phrase pairs in the phrase table .",Introduction,Scoring Phrase Pairs with RNN Encoder - Decoder,machine-translation,0,,,,86,0.7962962962962963,94,0.4292237442922374,24,0.5217391304347826,1,0,
96,Related Approaches : Neural Networks in Machine Translation,Introduction,,machine-translation,0,,,,87,0.8055555555555556,95,0.4337899543378995,25,0.5434782608695652,1,0,
97,"Before presenting the empirical results , we discuss a number of recent works that have proposed to use neural networks in the context of SMT .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,88,0.8148148148148148,96,0.4383561643835616,26,0.5652173913043478,1,0,
98,Schwenk in proposed a similar approach of scoring phrase pairs .,Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,89,0.8240740740740741,97,0.4429223744292237,27,0.5869565217391305,1,0,
99,"Instead of the RNN - based neural network , he used a feedforward neural network that has fixed - size inputs ( 7 words in his case , with zero - padding for shorter phrases ) and fixed - size outputs ( 7 words in the target language ) .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,90,0.8333333333333334,98,0.4474885844748858,28,0.6086956521739131,1,0,
100,"When it is used specifically for scoring phrases for the SMT system , the maximum phrase length is often chosen to be small .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,91,0.8425925925925926,99,0.4520547945205479,29,0.6304347826086957,1,0,
101,"However , as the length of phrases increases or as we apply neural networks to other variable - length sequence data , it is important that the neural network can handle variable - length input and output .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,92,0.8518518518518519,100,0.45662100456621,30,0.6521739130434783,1,0,
102,The proposed RNN Encoder - Decoder is well - suited for these applications .,Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,93,0.8611111111111112,101,0.4611872146118721,31,0.6739130434782609,1,0,
103,"Similar to , Devlin et al. proposed to use a feedforward neural network to model a translation model , however , by predicting one word in a target phrase at a time .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,94,0.8703703703703703,102,0.4657534246575342,32,0.6956521739130435,1,0,
104,"They reported an impressive improvement , but their approach still requires the maximum length of the input phrase ( or context words ) to be fixed a priori .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,95,0.8796296296296297,103,0.4703196347031963,33,0.717391304347826,1,0,
105,"Although it is not exactly a neural network they train , the authors of proposed to learn a bilingual embedding of words / phrases .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,96,0.8888888888888888,104,0.4748858447488584,34,0.7391304347826086,1,0,
106,They use the learned embedding to compute the distance between a pair of phrases which is used as an additional score of the phrase pair in an SMT system .,Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,97,0.8981481481481481,105,0.4794520547945205,35,0.7608695652173914,1,0,
107,"In , a feedforward neural network was trained to learn a mapping from a bag - of - words representation of an input phrase to an output phrase .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,98,0.9074074074074074,106,0.4840182648401826,36,0.782608695652174,1,0,
108,"This is closely related to both the proposed RNN Encoder - Decoder and the model proposed in , except that their input representation of a phrase is a bag - of - words .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,99,0.9166666666666666,107,0.4885844748858447,37,0.8043478260869565,1,0,
109,A similar approach of using bag - of - words representations was proposed in as well .,Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,100,0.9259259259259259,108,0.4931506849315068,38,0.8260869565217391,1,0,
110,"Earlier , a similar encoder - decoder model using two recursive neural networks was proposed in ) , but their model was restricted to a monolingual setting , i.e. the model reconstructs an input sentence .",Introduction,Related Approaches : Neural Networks in Machine Translation,machine-translation,0,,,,101,0.9351851851851852,109,0.4977168949771689,39,0.8478260869565217,1,0,
