idx,text,main_heading,heading,topic,paper_idx,BIO,BIO_1,BIO_2,offset1,pro1,offset2,pro2,offset3,pro3,mask,bi_labels,labels
11,"The ByteNet also achieves state - of - the - art performance on character - to - character machine translation on the English - to - German WMT translation task , surpassing comparable neural translation models that are based on recurrent networks with attentional pooling and run in quadratic time .",abstract,abstract,machine-translation,1,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",8,0.8888888888888888,10,0.04975124378109453,8,0.8888888888888888,1,1,research-problem
14,"In neural language modelling , a neural network estimates a distribution over sequences of words or characters that belong to a given language .",Introduction,Introduction,machine-translation,1,"['O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,0.02702702702702703,13,0.06467661691542288,1,0.02702702702702703,1,1,research-problem
15,"In neural machine translation , the network estimates a distribution over sequences in the target language conditioned on a given sequence in the source language .",Introduction,Introduction,machine-translation,1,"['O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",2,0.05405405405405406,14,0.06965174129353234,2,0.05405405405405406,1,1,research-problem
31,The ByteNet is the instance within this family of models that uses one - dimensional convolutional neural networks ( CNN ) of fixed depth for both the encoder and the decoder ) .,Introduction,Introduction,machine-translation,1,"['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'B', 'I', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'O']",,,18,0.4864864864864865,30,0.14925373134328357,18,0.4864864864864865,1,1,
32,The two CNNs use increasing factors of dilation to rapidly grow the receptive fields ; a similar technique is also used in .,Introduction,Introduction,machine-translation,1,"['O', 'B', 'I', 'B', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,19,0.5135135135135135,31,0.15422885572139303,19,0.5135135135135135,1,1,
33,The convolutions in the decoder CNN are masked to prevent the network from seeing future tokens in the target sequence .,Introduction,Introduction,machine-translation,1,"['O', 'B', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O']",,,20,0.5405405405405406,32,0.15920398009950248,20,0.5405405405405406,1,1,
34,The network has beneficial computational and learning properties .,Introduction,Introduction,machine-translation,1,"['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O']","['O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",21,0.5675675675675675,33,0.16417910447761194,21,0.5675675675675675,1,1,model
35,"From a computational perspective , the network has a running time that is linear in the length of the source and target sequences ( up to a constant c ?",Introduction,Introduction,machine-translation,1,"['B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-p', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-p', 'O', 'B-b', 'I-b', 'O', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",22,0.5945945945945946,34,0.1691542288557214,22,0.5945945945945946,1,1,model
38,"From a learning perspective , the representation of the source sequence in the ByteNet is resolution preserving ; the representation sidesteps the need for memorization and allows for maximal bandwidth between encoder and decoder .",Introduction,Introduction,machine-translation,1,"['O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-n', 'I-n', 'O', 'O', 'B-p', 'I-p', 'I-p', 'I-p', 'I-p', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-b', 'I-b', 'O', 'O', 'B-p', 'I-p', 'I-p', 'I-p', 'I-p', 'O', 'O', 'O', 'O', 'B-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",25,0.6756756756756757,37,0.18407960199004975,25,0.6756756756756757,1,1,model
156,"The ByteNet Decoder that we use for the result has 30 residual blocks split into six sets of five blocks each ; for the five blocks in each set the dilation rates are , respectively , 1 , 2 , 4 , 8 and 16 .",Model Test,Character Prediction,machine-translation,1,"['O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'B', 'I', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']",,,11,0.22916666666666666,155,0.7711442786069652,4,0.0975609756097561,1,1,experiments
157,The masked kernel has size 3 .,Model Test,Character Prediction,machine-translation,1,"['O', 'B', 'I', 'O', 'B', 'I', 'O']","['O', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'O']","['O', 'B-p', 'I-p', 'O', 'B-ob', 'I-ob', 'O']",12,0.25,156,0.7761194029850746,5,0.12195121951219512,1,1,experiments
159,The number of hidden units dis 512 .,Model Test,Character Prediction,machine-translation,1,"['O', 'B', 'I', 'I', 'I', 'B', 'I', 'O']","['O', 'B-p', 'I-p', 'I-p', 'I-p', 'B-n', 'I-n', 'O']","['O', 'B-p', 'I-p', 'I-p', 'I-p', 'B-ob', 'I-ob', 'O']",14,0.2916666666666667,158,0.7860696517412935,7,0.17073170731707318,1,1,experiments
161,For the optimization we use Adam with a learning rate of 0.0003 and a weight decay term of 0.0001 .,Model Test,Character Prediction,machine-translation,1,"['O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O']","['O', 'O', 'B-p', 'O', 'O', 'B-n', 'O', 'O', 'B-p', 'I-p', 'O', 'B-n', 'O', 'O', 'B-p', 'I-p', 'O', 'O', 'B-n', 'O']","['O', 'O', 'B-p', 'O', 'O', 'B-b', 'O', 'O', 'B-p', 'I-p', 'O', 'B-ob', 'O', 'O', 'B-p', 'I-p', 'O', 'O', 'B-ob', 'O']",16,0.3333333333333333,160,0.7960199004975125,9,0.21951219512195122,1,1,experiments
162,We apply dropout to the last ReLU layer before the softmax dropping units with a probability of 0.1 .,Model Test,Character Prediction,machine-translation,1,"['O', 'B', 'B', 'B', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'B', 'O', 'B', 'I', 'I', 'O']","['O', 'B-p', 'B-n', 'B-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['O', 'B-p', 'B-b', 'B-p', 'O', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'O']",17,0.3541666666666667,161,0.8009950248756219,10,0.24390243902439024,1,1,experiments
164,"At each step we sample a batch of sequences of 500 characters each , use the first 100 characters as the minimum context and predict the latter 400 characters .",Model Test,Character Prediction,machine-translation,1,"['O', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'B', 'B', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'O']",,,19,0.3958333333333333,163,0.8109452736318408,12,0.2926829268292683,1,1,experiments
167,The ByteNet decoder achieves 1.31 bits / character on the test set .,Model Test,Character Prediction,machine-translation,1,"['O', 'O', 'O', 'B', 'B', 'I', 'I', 'I', 'B', 'O', 'B', 'I', 'O']","['O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'O']","['O', 'O', 'O', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'B-p', 'O', 'B-b', 'I-b', 'O']",22,0.4583333333333333,166,0.8258706467661692,15,0.36585365853658536,1,1,experiments
174,The ByteNet used in the experiments has 30 residual blocks in the encoder and 30 residual blocks in the decoder .,Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O']","['O', 'B-n', 'O', 'B-p', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'O']","['O', 'B-b', 'O', 'B-p', 'O', 'O', 'O', 'B-b', 'I-b', 'I-b', 'B-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'O']",29,0.6041666666666666,173,0.8606965174129353,22,0.5365853658536586,1,1,experiments
175,"As in the ByteNet Decoder , the residual blocks are arranged in sets of five with corresponding dilation rates of 1 , 2 , 4 , 8 and 16 .",Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'B', 'I', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']",,,30,0.625,174,0.8656716417910447,23,0.5609756097560976,1,1,experiments
176,For this task we use the residual blocks with ReLUs ( .,Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'B', 'B', 'O', 'O']","['O', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'O', 'O']","['O', 'O', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'B-p', 'B-ob', 'O', 'O']",31,0.6458333333333334,175,0.8706467661691543,24,0.5853658536585366,1,1,experiments
177,The number of hidden units dis 800 .,Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'O', 'O', 'B', 'I', 'B', 'I', 'O']","['O', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'O']","['O', 'O', 'O', 'B-p', 'I-p', 'B-ob', 'I-ob', 'O']",32,0.6666666666666666,176,0.8756218905472637,25,0.6097560975609756,1,1,experiments
178,"The size of the kernel in the source network is 3 , whereas the size of the masked kernel in the target network is 3 .",Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'B', 'I', 'I', 'I', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","['O', 'B-p', 'I-p', 'I-p', 'I-p', 'B-p', 'O', 'B-n', 'I-n', 'O', 'B-n', 'O', 'O', 'O', 'B-p', 'I-p', 'I-p', 'I-p', 'I-p', 'O', 'O', 'B-n', 'I-n', 'O', 'O', 'O']","['O', 'B-p', 'I-p', 'I-p', 'I-p', 'B-p', 'O', 'B-b', 'I-b', 'O', 'B-ob', 'O', 'O', 'O', 'B-p', 'I-p', 'I-p', 'I-p', 'I-p', 'O', 'O', 'B-b', 'I-b', 'O', 'O', 'O']",33,0.6875,177,0.8805970149253731,26,0.6341463414634146,1,1,experiments
179,For the optimization we use Adam with a learning rate of 0.0003 .,Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'O', 'B', 'O', 'B', 'B', 'B', 'O', 'B', 'I', 'I', 'I', 'O']","['O', 'O', 'B-n', 'O', 'B-p', 'B-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'B-b', 'O', 'B-p', 'B-b', 'B-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",34,0.7083333333333334,178,0.8855721393034826,27,0.6585365853658537,1,1,experiments
180,Each sentence is padded with special characters to the nearest greater multiple of 50 ; 20 % of further padding is ap - plied to each source sentence as apart of dynamic unfolding ( eq. 2 ) .,Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'B', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-n', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'O', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-b', 'O', 'B-p', 'I-p', 'B-b', 'I-b', 'O', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",35,0.7291666666666666,179,0.8905472636815921,28,0.6829268292682927,1,1,experiments
181,Each pair of sentences is mapped to a bucket based on the pair of padded lengths for efficient batching during training .,Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'B', 'I', 'I', 'O', 'B', 'B', 'O', 'B', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'B', 'B', 'I', 'I', 'I', 'O']","['O', 'B-n', 'I-n', 'I-n', 'O', 'B-p', 'B-p', 'O', 'B-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'B-b', 'I-b', 'I-b', 'O', 'B-p', 'B-p', 'O', 'B-b', 'B-p', 'I-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",36,0.75,180,0.8955223880597015,29,0.7073170731707317,1,1,experiments
182,We use vanilla beam search according to the total likelihood of the generated candidate and accept only candidates which end in a end -of - sentence token .,Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']","['O', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'B-b', 'I-b', 'I-b', 'B-p', 'I-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'B-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",37,0.7708333333333334,181,0.900497512437811,30,0.7317073170731707,1,1,experiments
183,We use abeam of size 12 .,Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'O', 'O', 'B', 'B', 'I', 'O']","['O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'O']","['O', 'O', 'O', 'B-p', 'B-ob', 'I-ob', 'O']",38,0.7916666666666666,182,0.9054726368159204,31,0.7560975609756098,1,1,experiments
186,"On NewsTest 2014 the ByteNet achieves the highest performance in character - level and subword - level neural machine translation , and compared to the word - level systems it is second only to the version of GNMT that uses word - pieces .",Model Test,Character - Level Machine Translation,machine-translation,1,"['O', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'B', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'B', 'I', 'I', 'O']",,,41,0.8541666666666666,185,0.9203980099502488,34,0.8292682926829268,1,1,experiments
